timestamp,latency_ms,status_code,success,error
1773001617.1479318,74.674,200,True,
1773001617.1479821,75.911,200,True,
1773001617.148003,80.941,200,True,
1773001617.148133,80.838,200,True,
1773001617.2239249,17.994,200,True,
1773001617.22908,12.97,200,True,
1773001617.1480992,95.334,200,True,
1773001617.1479628,114.221,200,True,
1773001617.1462169,116.451,200,True,
1773001617.147873,114.848,200,True,
1773001617.148084,114.672,200,True,
1773001617.148115,114.678,200,True,
1773001617.242081,20.736,200,True,
1773001617.241976,20.858,200,True,
1773001617.243459,41.866,200,True,
1773001617.2631822,22.595,200,True,
1773001617.263137,22.672,200,True,
1773001617.2629702,29.128,200,True,
1773001617.2624059,30.035,200,True,
1773001617.263029,29.438,200,True,
1773001617.26288,29.61,200,True,
1773001617.2630851,29.424,200,True,
1773001617.285868,19.493,200,True,
1773001617.286002,19.6,200,True,
1773001617.2854981,27.307,200,True,
1773001617.292284,25.419,200,True,
1773001617.292626,25.549,200,True,
1773001617.292741,25.465,200,True,
1773001617.3056462,15.632,200,True,
1773001617.317976,22.194,200,True,
1773001617.3128471,28.021,200,True,
1773001617.3213089,19.72,200,True,
1773001617.31828,25.323,200,True,
1773001617.341287,17.368,200,True,
1773001617.340373,24.129,200,True,
1773001617.341108,23.735,200,True,
1773001617.34372,26.643,200,True,
1773001617.3587148,16.889,200,True,
1773001617.222666,153.701,200,True,
1773001617.364612,22.219,200,True,
1773001617.3649411,21.937,200,True,
1773001617.3184159,68.845,200,True,
1773001617.305443,82.175,200,True,
1773001617.3764648,14.646,200,True,
1773001617.375673,15.717,200,True,
1773001617.387676,14.139,200,True,
1773001617.3912451,15.579,200,True,
1773001617.391454,15.751,200,True,
1773001617.386969,23.781,200,True,
1773001617.38733,23.668,200,True,
1773001617.40727,15.15,200,True,
1773001617.4018571,25.114,200,True,
1773001617.370432,61.925,200,True,
1773001617.411041,21.498,200,True,
1773001617.4224582,21.066,200,True,
1773001617.427008,19.009,200,True,
1773001617.432427,23.376,200,True,
1773001617.432576,23.256,200,True,
1773001617.443553,13.636,200,True,
1773001617.446044,14.066,200,True,
1773001617.2290251,231.344,200,True,
1773001617.4604192,15.341,200,True,
1773001617.4572191,18.855,200,True,
1773001617.2925508,183.82,200,True,
1773001617.455938,24.115,200,True,
1773001617.4558651,25.214,200,True,
1773001617.475858,13.535,200,True,
1773001617.476404,21.98,200,True,
1773001617.489436,15.344,200,True,
1773001617.480083,24.941,200,True,
1773001617.481112,23.942,200,True,
1773001617.498434,37.207,200,True,
1773001617.504902,31.056,200,True,
1773001617.476125,59.894,200,True,
1773001617.5050921,30.961,200,True,
1773001617.505179,31.355,200,True,
1773001617.460214,79.724,200,True,
1773001617.38717,163.924,200,True,
1773001617.5361521,16.036,200,True,
1773001617.5362701,15.993,200,True,
1773001617.535806,28.189,200,True,
1773001617.536599,27.554,200,True,
1773001617.5363688,27.922,200,True,
1773001617.539978,39.693,200,True,
1773001617.5525131,27.285,200,True,
1773001617.5644128,22.964,200,True,
1773001617.564899,30.375,200,True,
1773001617.570224,25.397,200,True,
1773001617.580095,15.567,200,True,
1773001617.552313,50.932,200,True,
1773001617.4108312,193.208,200,True,
1773001617.587439,23.221,200,True,
1773001617.59583,14.954,200,True,
1773001617.603499,14.501,200,True,
1773001617.406954,214.81,200,True,
1773001617.595443,26.401,200,True,
1773001617.595715,26.194,200,True,
1773001617.5512729,99.27,200,True,
1773001617.580462,351.124,200,True,
1773001617.292688,733.87,200,True,
